epoch,accuracy,loss,top5_acc,val_accuracy,val_loss,val_top5_acc
0,0.018087923526763916,5.501777648925781,0.06655190885066986,0.07544948905706406,4.777309417724609,0.23223458230495453
1,0.11592955142259598,4.575514793395996,0.3062500059604645,0.24775256216526031,3.753985643386841,0.5340325236320496
2,0.23862552642822266,3.893044948577881,0.5050582885742188,0.38720035552978516,3.169017791748047,0.6808647513389587
3,0.3138771057128906,3.532102346420288,0.58920818567276,0.440496563911438,2.9178638458251953,0.7353382110595703
4,0.36717426776885986,3.2870025634765625,0.6462393999099731,0.5087757110595703,2.6725480556488037,0.789383590221405
5,0.40876588225364685,3.112977981567383,0.6828787326812744,0.5491224527359009,2.5277421474456787,0.8142123222351074
6,0.4476959705352783,2.968592643737793,0.71157306432724,0.5652825236320496,2.4524683952331543,0.8273758292198181
7,0.47460275888442993,2.865976095199585,0.7298861145973206,0.6176155805587769,2.2725703716278076,0.856057345867157
8,0.49768272042274475,2.777775287628174,0.7458156943321228,0.6260702013969421,2.2207870483398438,0.8633347749710083
9,0.5167372822761536,2.709561824798584,0.7582362294197083,0.6552867889404297,2.14797043800354,0.8776755332946777
10,0.5286149382591248,2.666503429412842,0.7671477794647217,0.6576412916183472,2.14766526222229,0.8784246444702148
11,0.5398967266082764,2.61738657951355,0.7744570970535278,0.6581763625144958,2.1261093616485596,0.878317654132843
12,0.552211344242096,2.5788986682891846,0.7807865738868713,0.6809717416763306,2.050825357437134,0.8890196681022644
13,0.5611096620559692,2.544548511505127,0.786069929599762,0.685680627822876,2.031593084335327,0.892123281955719
14,0.5670815706253052,2.51884388923645,0.7895921468734741,0.7004494667053223,1.9916495084762573,0.8955479264259338
15,0.5743776559829712,2.4896461963653564,0.7953654527664185,0.709118127822876,1.968108057975769,0.899935781955719
16,0.5851827263832092,2.4623045921325684,0.7996159791946411,0.7130779027938843,1.9571725130081177,0.9028253555297852
17,0.5898040533065796,2.436830759048462,0.8035354614257812,0.710616409778595,1.95412015914917,0.9027183055877686
18,0.5942796468734741,2.421825647354126,0.8064354062080383,0.7197132110595703,1.928948998451233,0.9053938388824463
19,0.6009401679039001,2.398836612701416,0.8098649382591248,0.7266695499420166,1.9223332405090332,0.9050727486610413
20,0.6060646176338196,2.385227918624878,0.8114009499549866,0.7377996444702148,1.880983591079712,0.9116010069847107
21,0.6106329560279846,2.3691868782043457,0.8133342266082764,0.735873281955719,1.888768196105957,0.9094606041908264
22,0.6145524382591248,2.3509669303894043,0.818101167678833,0.7464683055877686,1.861162543296814,0.9112799763679504
23,0.617333173751831,2.3370304107666016,0.8194782733917236,0.7536386847496033,1.8351562023162842,0.9156678318977356
24,0.6250529885292053,2.3233776092529297,0.8200873732566833,0.747003436088562,1.8470358848571777,0.912243127822876
25,0.6303231120109558,2.296783447265625,0.8250529766082764,0.7521404027938843,1.826612114906311,0.9171661138534546
26,0.6332362294197083,2.290590286254883,0.8244041204452515,0.7534246444702148,1.8284611701965332,0.9164169430732727
27,0.6368776559829712,2.280381441116333,0.8272245526313782,0.7524614930152893,1.8262214660644531,0.9152397513389587
28,0.6385990381240845,2.2677524089813232,0.829674243927002,0.7584546208381653,1.8145877122879028,0.917059063911438
29,0.6422140002250671,2.256354331970215,0.8308395147323608,0.7642337083816528,1.791613221168518,0.9184503555297852
30,0.6466498970985413,2.2416510581970215,0.8341763615608215,0.7617722749710083,1.7910572290420532,0.9180222749710083
31,0.6493379473686218,2.229891061782837,0.8355932235717773,0.7665882110595703,1.7870230674743652,0.9196275472640991
32,0.6509931087493896,2.219820022583008,0.8368908762931824,0.7691566944122314,1.776037573814392,0.9202696681022644
33,0.6530852913856506,2.2104299068450928,0.8390757441520691,0.7602739930152893,1.800910234451294,0.9201626777648926
34,0.6587791442871094,2.1984634399414062,0.8407044410705566,0.7672303318977356,1.7784396409988403,0.9206977486610413
35,0.6618643999099731,2.189526319503784,0.8406117558479309,0.7700128555297852,1.7646551132202148,0.9196275472640991
36,0.665360152721405,2.176879405975342,0.8427568674087524,0.7796446681022644,1.7444038391113281,0.9240154027938843
37,0.668366014957428,2.167149782180786,0.8438162207603455,0.7744007110595703,1.7484513521194458,0.9225171208381653
38,0.6692796349525452,2.1607701778411865,0.8458818793296814,0.7784674763679504,1.7320551872253418,0.9246575236320496
39,0.6702330708503723,2.1501471996307373,0.8464380502700806,0.7800727486610413,1.7406566143035889,0.9243364930152893
40,0.6763241291046143,2.135063648223877,0.8490598797798157,0.7826412916183472,1.72350013256073,0.9282962083816528
41,0.6784163117408752,2.128793716430664,0.8507680296897888,0.7883133292198181,1.7192217111587524,0.9271190166473389
42,0.6800979971885681,2.1259641647338867,0.8499205708503723,0.787564218044281,1.7250109910964966,0.9260488152503967
43,0.684374988079071,2.1096293926239014,0.8533633351325989,0.7924871444702148,1.701742172241211,0.9291523694992065
44,0.6853416562080383,2.1018223762512207,0.8540121912956238,0.7899186611175537,1.7060449123382568,0.928189218044281
45,0.6864539384841919,2.0962705612182617,0.8546345233917236,0.7969820499420166,1.6969276666641235,0.9280821681022644
46,0.6919888854026794,2.086050033569336,0.8540916442871094,0.7915239930152893,1.6996147632598877,0.930008590221405
